[ 2017-02-15T10:17:15+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_template ] --START--
[ 2017-02-15T10:17:15+08:00 ] /JSJD/admin.php/Login/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001735s ]
[ 2017-02-15T10:17:15+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001843s ]
[ 2017-02-15T10:17:15+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_parse ] --START--
[ 2017-02-15T10:17:15+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ParseTemplate Behavior [ RunTime:0.014560s ]
[ 2017-02-15T10:17:15+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014655s ]
[ 2017-02-15T10:17:15+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_filter ] --START--
[ 2017-02-15T10:17:15+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ContentReplace Behavior [ RunTime:0.002501s ]
[ 2017-02-15T10:17:15+08:00 ] /JSJD/admin.php/Login/ | INFO: Run TokenBuild Behavior [ RunTime:0.001178s ]
[ 2017-02-15T10:17:15+08:00 ] /JSJD/admin.php/Login/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000935s ]
[ 2017-02-15T10:17:15+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001688s ]
[ 2017-02-15T10:17:15+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006928s ]
[ 2017-02-15T10:17:15+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_end ] --START--
[ 2017-02-15T10:17:15+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001490s ]
